date,sleepIntervalIndex,sleepTimeStart,sleepTimeEnd,sleepDuration,sleepQuality,restingHR,interrupted
07/19/2013,1,"Jul 19, 2013 1:47 AM","Jul 19, 2013 7:33 AM",5h 46m,69,48,0
07/20/2013,1,"Jul 20, 2013 2:11 AM","Jul 20, 2013 9:13 AM",7h 2m,95,46,0
07/21/2013,1,"Jul 21, 2013 1:51 AM","Jul 21, 2013 8:10 AM",6h 19m,77,47,1
07/22/2013,1,"Jul 22, 2013 12:50 AM","Jul 22, 2013 7:23 AM",6h 33m,85,45,0
07/23/2013,1,"Jul 23, 2013 1:54 AM","Jul 23, 2013 7:30 AM",5h 36m,66,48,0
07/24/2013,1,"Jul 24, 2013 1:29 AM","Jul 24, 2013 7:30 AM",6h 1m,74,49,0
07/25/2013,1,"Jul 25, 2013 1:40 AM","Jul 25, 2013 6:52 AM",5h 12m,58,45,0
07/26/2013,1,"Jul 26, 2013 12:59 AM","Jul 26, 2013 7:10 AM",6h 11m,77,46,0
07/27/2013,1,"Jul 27, 2013 12:23 AM","Jul 27, 2013 7:37 AM",7h 14m,95,48,0
07/28/2013,1,"Jul 28, 2013 1:59 AM","Jul 28, 2013 2:48 AM",49m,25,46,0
07/28/2013,2,"Jul 28, 2013 3:09 AM","Jul 28, 2013 5:23 AM",2h 14m,25,44,0
07/30/2013,1,"Jul 30, 2013 1:15 AM","Jul 30, 2013 6:59 AM",5h 44m,68,49,0
07/31/2013,1,"Jul 31, 2013 12:25 AM","Jul 31, 2013 7:18 AM",6h 53m,89,48,1
08/01/2013,1,"Aug 1, 2013 12:57 AM","Aug 1, 2013 1:08 AM",11m,65,47,0
08/01/2013,2,"Aug 1, 2013 1:46 AM","Aug 1, 2013 7:20 AM",5h 34m,65,47,0
08/02/2013,1,"Aug 2, 2013 1:01 AM","Aug 2, 2013 8:21 AM",7h 20m,95,45,0
08/03/2013,1,"Aug 3, 2013 1:21 AM","Aug 3, 2013 8:41 AM",7h 20m,95,48,0
08/04/2013,1,"Aug 4, 2013 1:05 AM","Aug 4, 2013 7:54 AM",6h 49m,88,41,0
08/08/2013,1,"Aug 8, 2013 1:20 AM","Aug 8, 2013 7:46 AM",6h 26m,83,41,0
08/09/2013,1,"Aug 9, 2013 12:55 AM","Aug 9, 2013 7:06 AM",6h 11m,77,45,0
08/10/2013,1,"Aug 10, 2013 12:35 AM","Aug 10, 2013 7:54 AM",7h 19m,92,44,1
08/11/2013,1,"Aug 11, 2013 12:13 AM","Aug 11, 2013 8:10 AM",7h 57m,92,42,1
08/12/2013,1,"Aug 12, 2013 1:05 AM","Aug 12, 2013 7:33 AM",6h 28m,83,42,0
08/13/2013,1,"Aug 13, 2013 1:09 AM","Aug 13, 2013 6:56 AM",5h 47m,69,44,0
08/14/2013,1,"Aug 14, 2013 12:50 AM","Aug 14, 2013 6:33 AM",5h 43m,68,42,0
08/15/2013,1,"Aug 15, 2013 12:56 AM","Aug 15, 2013 7:38 AM",6h 42m,89,44,0
08/16/2013,1,"Aug 16, 2013 1:46 AM","Aug 16, 2013 6:52 AM",5h 6m,56,45,0
08/17/2013,1,"Aug 17, 2013 12:17 AM","Aug 17, 2013 6:39 AM",6h 22m,81,44,0
08/18/2013,1,"Aug 18, 2013 12:54 AM","Aug 18, 2013 8:27 AM",7h 33m,95,42,0
08/19/2013,1,"Aug 19, 2013 1:22 AM","Aug 19, 2013 7:29 AM",6h 7m,76,40,0
08/20/2013,1,"Aug 20, 2013 1:54 AM","Aug 20, 2013 7:44 AM",5h 50m,70,41,0
08/21/2013,1,"Aug 21, 2013 1:28 AM","Aug 21, 2013 7:37 AM",6h 9m,72,44,1
08/22/2013,1,"Aug 22, 2013 12:19 AM","Aug 22, 2013 6:52 AM",6h 33m,85,43,0
08/23/2013,1,"Aug 23, 2013 12:36 AM","Aug 23, 2013 6:50 AM",6h 14m,73,46,1
08/24/2013,1,"Aug 24, 2013 12:57 AM","Aug 24, 2013 8:09 AM",7h 12m,95,44,0
08/25/2013,1,"Aug 25, 2013 1:31 AM","Aug 25, 2013 8:36 AM",7h 5m,95,48,0
08/27/2013,,"Aug 27, 2013 1:23 AM","Aug 27, 2013 6:48 AM",5h 25m,56,45,1
08/28/2013,,"Aug 28, 2013 12:46 AM","Aug 28, 2013 6:44 AM",5h 58m,73,46,0
08/29/2013,,"Aug 29, 2013 1:08 AM","Aug 29, 2013 6:11 AM",5h 3m,56,52,0
08/30/2013,,"Aug 30, 2013 12:46 AM","Aug 30, 2013 7:11 AM",6h 25m,93,48,0
08/31/2013,,"Aug 31, 2013 1:01 AM","Aug 31, 2013 6:46 AM",5h 45m,64,45,1
09/03/2013,1,"Sep 3, 2013 12:04 AM","Sep 3, 2013 6:59 AM",6h 55m,93,46,0
09/04/2013,1,"Sep 4, 2013 7:49 PM","Sep 4, 2013 8:16 PM",27m,85,59,0
09/04/2013,2,"Sep 4, 2013 1:25 AM","Sep 4, 2013 7:38 AM",6h 13m,85,49,0
09/04/2013,3,"Sep 4, 2013 12:38 PM","Sep 4, 2013 12:59 PM",21m,85,60,0
09/05/2013,1,"Sep 5, 2013 9:53 PM","Sep 5, 2013 10:20 PM",27m,80,53,0
09/05/2013,2,"Sep 5, 2013 1:05 AM","Sep 5, 2013 6:58 AM",5h 53m,80,49,0
09/06/2013,1,"Sep 6, 2013 7:57 AM","Sep 6, 2013 8:22 AM",25m,2,48,0
09/07/2013,1,"Sep 7, 2013 8:59 AM","Sep 7, 2013 9:47 AM",48m,2,47,0
09/08/2013,1,"Sep 7, 2013 8:39 PM","Sep 8, 2013 4:08 AM",7h 29m,94,44,0
09/09/2013,1,"Sep 8, 2013 7:16 PM","Sep 9, 2013 3:00 AM",7h 44m,92,41,1
09/10/2013,1,"Sep 9, 2013 8:19 PM","Sep 10, 2013 12:43 AM",4h 24m,42,43,0
09/12/2013,1,"Sep 11, 2013 8:06 PM","Sep 12, 2013 3:02 AM",6h 56m,94,42,0
09/13/2013,1,"Sep 12, 2013 8:02 PM","Sep 13, 2013 3:38 AM",7h 36m,95,44,0
09/14/2013,1,"Sep 13, 2013 7:21 PM","Sep 14, 2013 1:17 AM",5h 56m,72,43,0
09/14/2013,2,"Sep 14, 2013 6:59 PM","Sep 14, 2013 7:24 PM",25m,72,46,0
