"Nutrino","-25.352185","-57.62347"
"Olark","18.65405","73.838794"
"Omate","-37.766506","144.956734"
"OnShift","41.501624","-81.680436"
"OpenCal","48.902878","2.271269"
"OpenPages","26.587712","-81.787816"
"Optimizely","37.786136","-122.398866"
"Opzi","52.278224","4.839"
"OrderAhead","34.017852","-118.489276"
"OrganizedWisdom","32.876317","-79.779588"
"Oscar","40.101138","-83.113957"
"Ovuline","4.232298","103.421891"
"Padlet","53.915766","-2.189275"
"PageLever","49.266836","-123.145856"
"PagerDuty","40.746204","-73.986397"
"Panna","40.726244","-73.986485"
"Parse","45.756822","4.816066"
"Path","47.618452","-122.338694"
"PatientsLikeMe","42.367078","-71.079561"
"payasUgym","51.523381","-0.102562"
"Paychex","43.125019","-77.491469"
"Pharmly","-23.568315","-46.653034"
"PlanGrid","41.730246","-72.673956"
"Plivo","12.968171","77.650895"
"Plympton","41.957275","-70.816771"
"Podio","55.672561","12.556469"
"popexpert","37.797432","-122.433665"
"Posterous","37.578487","-122.345242"
"Priceonomics","51.519279","-0.142271"
"Proxino","16.5938094","120.3122771"
"Pursuit","27.482107","-80.362888"
"Qardio","40.744398","-73.990214"
"QLess","41.401155","2.144541"
"QuantiaMD","42.395398","-71.264083"
"Quartzy","45.006302","-93.101699"
"Raizlabs","42.356848","-71.058646"
"Openbay","-38.01227","-57.531771"
"Runtastic","48.242653","14.236114"
"SaleMove","29.264834","-98.734802"
"Scanadu","37.41057","-122.058652"
"Screenhero","-26.04589","28.01282"
"Scripted","37.776163","-122.402177"
"ScriptPad","42.510652","-82.905407"
"SendHub","37.47688","-122.197503"
"Sensinode","65.012658","25.475363"
"Sermo","42.351926","-71.056955"
"Sessions","37.062821","-122.00683"
"Sharecare","35.125643","-106.584942"
"Shippable","39.423209","-119.738268"
"Sift","38.333212","-122.711475"
"Simperium","59.621441","17.857519"
"Simplee","40.114138","-76.521733"
"Sixense","37.799273","-122.45676"
"Skimble","52.597134","-2.559296"
"SkyHealth","47.109756","-88.585842"
"SmartAsset","36.825036","10.182616"
"SocialPicks","34.008873","-118.339005"
"SocialYell","49.244302","-123.065013"
"Solaria","37.557687","-122.065767"
"Songkick","51.527728","-0.080032"
"Sonos","34.422207","-119.696658"
"Sportlyzer","58.3565","26.677047"
"SpotMe","41.894066","-87.652478"
"Sprout","37.444334","-122.163004"
"Sproutling","40.736883","-73.993177"
"Stat","35.826657","-81.453859"
"StickNFind","38.00367","23.792803"
"Striiv","40.565226","-74.332013"
"Stripe","25.890546","-80.182633"
"Survata","37.78105","-122.402204"
"Swapbox","37.749504","-122.418337"
"Swiftype","41.697747","-86.006051"
"Swoop","43.299355","-79.971384"
"Syapse","37.443901","-122.163978"
"Tagstand","37.056925","-122.077585"
"Tapestry","42.67492","-74.48333"
"Tastemade","25.259607","110.314286"
"thredUP","37.789164","-122.401588"
"Thrive","51.375116","-1.005367"
"ThriveHive","42.362064","-71.079892"
"TigerText","34.031575","-118.495751"
"Tidemark","41.85258","-72.644426"
"TinyTap","27.933812","-82.48223"
"Tipjoy","28.080594","-82.427834"
"Transcriptic","37.476635","-122.196791"
"Trustdefender","37.334797","-121.893118"
"TrustEgg","28.573041","77.241547"
"Tutorspree","40.73341","-73.99217"
"Twilio","37.783561","-122.395916"
"Upverter","43.650532","-79.394873"
"Urtak","40.722157","-73.992337"
"Vayable","43.670296","-93.575295"
"Venio","40.751961","-73.986412"
"Verbling","37.779418","-122.393261"
"Vidyard","39.751685","-104.997493"
"Virool","53.121555","-1.126434"
"ViSalus","34.063371","-118.366185"
"Voicegem","37.379131","-122.05616"
"Wahanda","51.459786","-0.125706"
"WakeMate","55.83372","37.66046"
"Walgreen","33.960593","-84.366164"
"Watsi","-0.3236062","20.9864294"
"Wattvision","43.823145","-70.112265"
"WebMD","40.740775","-74.002235"
"WebVet","56.744378","37.194428"
"Weebly","37.797243","-122.404654"
"Wefunder","22.527214","113.944348"
"WellnessFX","37.767569","-122.411"
"Wello","51.449226","5.555635"
"Wellsphere","40.030258","-105.268741"
"Welltok","39.750076","-105.00115"
"WePay","41.415678","-75.662998"
"Whistle","43.640976","-79.385162"
"wikiHow","19.970704","73.837362"
"Wundrbar","57.702595","11.991472"
"Yardsale","44.76656","-93.337808"
"Zapier","38.016547","-84.422774"
"Zaranga","37.752965","-122.393524"
"Zealous","51.528575","-0.049518"
"Zeel","35.663842","139.711836"
"Zencoder","37.77572","-122.413628"
"Zendesk","37.782358","-122.409855"
"Zendrive","52.980305","-1.153143"
"Zenefits","37.767287","-122.406204"
"ZenPayroll","37.783085","-122.39458"
"ZeroCater","37.798239","-122.402311"
"Zesty","44.469554","-88.021428"
"ZocDoc","40.72439","-73.99751"
"Zuberance","37.506486","-122.25989"
"Heroku","37.771906","-122.40227"
"mailgun","37.785145","-122.397428"
