date,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality,s_rem
20130615,219.0,1409.0,623.0,1.0,208.0,14595.0,23655.0,9060.0,78.0,
20130619,102.0,966.0,446.0,0.0,86.0,15780.0,20816.0,5036.0,81.0,
20130621,147.0,2160.0,461.0,1.0,126.0,14844.0,18504.0,3660.0,73.0,
20130625,128.0,1618.0,457.0,0.0,112.0,10080.0,19800.0,9720.0,65.0,
20130629,115.0,1393.0,569.0,1.0,109.0,14820.0,26940.0,12120.0,88.0,
20130702,122.0,2842.0,470.0,0.0,90.0,7980.0,21000.0,13020.0,63.0,
20130703,307.0,710.0,511.0,0.0,296.0,5280.0,12291.0,7011.0,35.0,
20130704,106.0,2669.0,560.0,1.0,95.0,14101.0,25542.0,11441.0,87.0,
20130705,177.0,6366.0,505.0,2.0,85.0,14429.0,18862.0,4433.0,69.0,
20130706,97.0,2528.0,656.0,2.0,76.0,25861.0,32397.0,6536.0,100.0,
20130707,113.0,2336.0,482.0,0.0,87.0,11580.0,22021.0,10441.0,73.0,
20130710,95.0,2080.0,484.0,1.0,74.0,14841.0,22761.0,7920.0,82.0,
20130711,290.0,1109.0,421.0,0.0,286.0,4201.0,7866.0,3665.0,25.0,
20130714,95.0,2014.0,554.0,1.0,79.0,15360.0,27051.0,11691.0,90.0,
20130715,108.0,3088.0,477.0,1.0,82.0,10883.0,20903.0,10020.0,68.0,
20130717,86.0,1133.0,440.0,1.0,75.0,11641.0,20879.0,9238.0,72.0,
20130718,51.0,1205.0,440.0,0.0,35.0,13260.0,23524.0,10264.0,81.0,
20130719,115.0,2322.0,453.0,1.0,98.0,15973.0,19939.0,3966.0,78.0,
20130720,137.0,3471.0,555.0,1.0,85.0,13080.0,24901.0,11821.0,81.0,
20130721,116.0,1468.0,495.0,1.0,110.0,15109.0,22369.0,7260.0,81.0,
20130722,56.0,1221.0,445.0,0.0,45.0,8880.0,23400.0,14520.0,72.0,
20130725,108.0,1312.0,427.0,1.0,92.0,10380.0,18961.0,8581.0,65.0,
20130726,67.0,995.0,416.0,0.0,56.0,13928.0,21448.0,7520.0,79.0,
20130727,61.0,735.0,462.0,1.0,57.0,15339.0,23679.0,8340.0,86.0,
20130728,123.0,1092.0,501.0,0.0,106.0,15480.0,22800.0,7320.0,82.0,
20130729,10.0,4165.0,454.0,1.0,1434.0,17028.0,24048.0,7020.0,93.0,
20130731,32.0,2442.0,441.0,1.0,21.0,12768.0,22959.0,10191.0,77.0,
20130801,116.0,2962.0,427.0,0.0,67.0,12967.0,18667.0,5700.0,71.0,
20130802,71.0,1315.0,500.0,1.0,55.0,12307.0,25508.0,13201.0,83.0,
20130803,82.0,730.0,521.0,0.0,71.0,14880.0,26312.0,11432.0,89.0,
20130804,59.0,1999.0,476.0,1.0,36.0,14340.0,24404.0,10064.0,85.0,
20130805,36.0,1825.0,465.0,1.0,25.0,19861.0,24766.0,4905.0,100.0,
20130806,78.0,1440.0,452.0,1.0,67.0,15606.0,22265.0,6659.0,83.0,
20130808,97.0,2193.0,466.0,1.0,76.0,11829.0,21909.0,10080.0,73.0,
20130809,56.0,2647.0,420.0,2.0,40.0,14446.0,20560.0,6114.0,75.0,
20130810,44.0,1265.0,473.0,0.0,23.0,15243.0,25799.0,10556.0,92.0,
20130812,70.0,771.0,454.0,0.0,59.0,10680.0,22970.0,12290.0,74.0,
20130813,71.0,731.0,415.0,0.0,60.0,12481.0,20661.0,8180.0,74.0,
20130814,61.0,2604.0,395.0,2.0,40.0,11818.0,19197.0,7379.0,68.0,
20130815,66.0,1255.0,460.0,1.0,50.0,14429.0,23357.0,8928.0,84.0,
20130816,114.0,1364.0,413.0,1.0,98.0,11879.0,17649.0,5770.0,66.0,
20130817,25.0,2767.0,494.0,3.0,14.0,17585.0,26254.0,8669.0,95.0,
20130818,53.0,1146.0,544.0,1.0,49.0,18541.0,28740.0,10199.0,100.0,
20130819,87.0,2002.0,450.0,0.0,65.0,12332.0,21692.0,9360.0,75.0,
20130820,125.0,1320.0,463.0,0.0,103.0,14280.0,20372.0,6092.0,76.0,
20130821,98.0,1803.0,457.0,1.0,82.0,12120.0,20820.0,8700.0,74.0,
20130822,24.0,1209.0,413.0,1.0,18.0,16741.0,22621.0,5880.0,89.0,0.0
20130823,82.0,1017.0,438.0,1.0,78.0,11748.0,20815.0,9067.0,71.0,0.0
20130824,63.0,1458.0,487.0,1.0,52.0,16879.0,24770.0,7891.0,92.0,0.0
20130826,81.0,396.0,455.0,0.0,75.0,10551.0,22551.0,12000.0,73.0,0.0
20130827,82.0,1260.0,408.0,2.0,78.0,9659.0,18690.0,9031.0,63.0,0.0
20130829,76.0,970.0,415.0,1.0,65.0,11246.0,20246.0,9000.0,67.0,0.0
20130901,123.0,3024.0,492.0,1.0,112.0,11587.0,19841.0,8254.0,68.0,0.0
20130902,130.0,6531.0,539.0,2.0,109.0,11317.0,21337.0,10020.0,69.0,0.0
20130903,9.0,2202.0,448.0,1.0,3.0,13690.0,25150.0,11460.0,86.0,0.0
20130904,100.0,1010.0,459.0,0.0,84.0,12180.0,21945.0,9765.0,74.0,0.0
20130905,74.0,1724.0,417.0,1.0,57.0,12360.0,20018.0,7658.0,71.0,0.0
20130908,104.0,1712.0,548.0,1.0,98.0,14579.0,25439.0,10860.0,83.0,0.0
20130909,23.0,5313.0,512.0,2.0,1417.0,14719.0,27139.0,12420.0,90.0,0.0
20130910,88.0,5466.0,322.0,0.0,1437.0,14280.0,14280.0,0.0,65.0,0.0
20130911,143.0,3213.0,657.0,1.0,107.0,15909.0,29952.0,14043.0,97.0,0.0
20130912,136.0,987.0,420.0,0.0,120.0,9481.0,17289.0,7808.0,58.0,0.0
20130915,104.0,1361.0,677.0,1.0,92.0,20435.0,34175.0,13740.0,100.0,0.0
20130916,71.0,2163.0,240.0,0.0,55.0,7200.0,10560.0,3360.0,39.0,0.0
20130917,84.0,1012.0,403.0,1.0,78.0,9780.0,18686.0,8906.0,64.0,0.0
20130918,429.0,1898.0,763.0,2.0,418.0,14309.0,18906.0,4597.0,62.0,0.0
20130919,41.0,1902.0,345.0,1.0,30.0,10500.0,17026.0,6526.0,61.0,0.0
20130920,75.0,755.0,369.0,0.0,64.0,11581.0,17820.0,6239.0,66.0,0.0
20130921,40.0,1443.0,434.0,1.0,29.0,14880.0,23308.0,8428.0,86.0,0.0
20130923,51.0,1329.0,460.0,0.0,35.0,12780.0,24600.0,11820.0,85.0,0.0
20130925,53.0,765.0,422.0,0.0,42.0,12780.0,22089.0,9309.0,78.0,0.0
20131002,169.0,3947.0,434.0,1.0,109.0,10968.0,15588.0,4620.0,58.0,0.0
20131004,454.0,453.0,530.0,0.0,450.0,2474.0,4514.0,2040.0,13.0,0.0
20131005,101.0,681.0,510.0,0.0,90.0,13981.0,24713.0,10732.0,85.0,0.0
20131009,107.0,745.0,516.0,0.0,96.0,12609.0,24609.0,12000.0,79.0,0.0
20131010,4.0,1019.0,383.0,0.0,1428.0,12923.0,22823.0,9900.0,81.0,0.0
20131011,95.0,671.0,439.0,0.0,84.0,13544.0,20744.0,7200.0,77.0,0.0
20131014,6119.0,1126.0,30318.0,1.0,5418.0,13980.0,23936.0,9956.0,82.0,0.0
20131015,2939.0,1440.0,30305.0,0.0,1805.0,13380.0,27595.0,14215.0,90.0,0.0
20131016,3539.0,665.0,27474.0,0.0,2874.0,11940.0,24207.0,12267.0,81.0,0.0
20131019,9659.0,2448.0,30887.0,1.0,8987.0,8831.0,20125.0,11294.0,62.0,0.0
20131023,7079.0,816.0,29370.0,0.0,6270.0,11274.0,22374.0,11100.0,73.0,0.0
20131029,6359.0,7324.0,29438.0,2.0,1238.0,11700.0,20938.0,9238.0,74.0,0.0
20131030,4799.0,4267.0,30528.0,1.0,2328.0,14706.0,25145.0,10439.0,86.0,0.0
20131031,8399.0,1558.0,26916.0,0.0,7716.0,13106.0,18506.0,5400.0,69.0,0.0
20131102,7211.0,0.0,34211.0,0.0,7211.0,0.0,27000.0,0.0,0.0,0.0
20131103,9539.0,2193.0,31312.0,1.0,8512.0,8760.0,20855.0,12095.0,63.0,0.0
20131104,1679.0,1684.0,30672.0,1.0,972.0,18300.0,28321.0,10021.0,98.0,0.0
20131105,4799.0,5182.0,28431.0,2.0,3531.0,12086.0,21227.0,9141.0,74.0,0.0
20131106,12299.0,5275.0,30485.0,0.0,7385.0,11640.0,18360.0,6720.0,63.0,0.0
20131107,3239.0,713.0,25329.0,0.0,2529.0,12600.0,22339.0,9739.0,78.0,0.0
